,,,,,,,,,,c,,,,,,,,
,,,,,,,p,,c,c,c,,,,,,,
,,,,,,w,w,,w,w,w,w,w,w,,,,
,,,,c,c,c,c,,c,c,c,c,c,c,c,c,,
,,c,c,c,,,,,,w,,,,,,c,c,c
,,c,,,,,,,,w,,,,,,,,c
,,c,,,o,o,o,,,w,,,,,,,,c
,,c,,,,,,,,w,,,,,,,,c
,,c,,c,c,c,c,c,,,,c,c,c,c,c,,c
,,c,,c,,,,c,,,,c,,c,,c,,c
,,c,,,o,o,o,c,,,,c,,,,c,,r
,,c,,r,o,o,o,c,,,,,,,,c,,c
,,c,,c,,,,,,w,,,,s,,c,,c
,,c,,c,c,,,,,w,o,o,o,c,,,,c
,,c,,c,,c,,,,w,o,o,c,c,,,,c
,,c,,c,,c,c,,,w,o,c,,c,,,,c
,,c,,c,c,c,c,c,c,w,c,c,c,c,c,c,,c
,,c,,,,,,,,w,,,,,,,,c
,,c,,,,,s,,,w,,,,,,,,c
,,c,w,w,w,w,w,w,,w,,,w,,,w,w,c
,,c,,c,,,,c,,w,,c,,,,c,,c
,,c,,,o,o,,c,,w,,c,,,,c,,c
,,c,,,o,o,,,,,,,,,,c,,c
,,c,,r,,,,,o,,,,,o,o,c,,c
,,c,,c,,,,,o,,,,,o,o,c,,c
,,c,,w,w,w,w,w,o,w,,,w,w,w,w,,c
,,c,,,,,,w,w,w,,,,,,,,c
,,c,,w,w,w,w,w,,w,,w,w,w,w,w,,c
,,c,,c,,,,c,,w,,c,,,,c,,c
,,c,,,o,o,,c,,w,,c,,,,c,,c
,,c,,,o,o,,c,,w,,c,,,,c,,c
,,c,,,o,o,,c,,w,,c,,,,c,,c
,,c,,,,,r,c,,w,,c,,,,o,o,c
,,c,,w,w,w,w,w,,w,,w,w,w,,o,o,c
,,,,,,,,,,,,,,,,o,o,c
,,,,,,,,,,f,,,,,,,,c
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
