c,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,c
c,p,,,,,,,,,,s,,,,,c,c,c,c,,,c,,,,,,,,,,,,c
w,w,w,w,w,w,,,c,c,c,c,c,c,c,,,,,,,,c,,,,,,,,,,,,c
c,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,c
c,,,,,,,o,o,o,,,,,,,,,,,,,,,,,,,,,,,,,c
c,,r,,,,c,c,c,c,c,,,c,c,c,c,,,,c,c,c,,,,,,,,,,,,c
c,o,o,o,,,,,,,,,,,,,,,,,,,,,,o,o,o,,,,,,,c
c,c,c,c,,,,,,,,,,,,,,,,,,,,,,o,o,o,,,,,,,c
c,,,,,,,,,,,c,c,c,c,,o,o,o,,,,,r,,,,,,,,f,,,c
w,w,w,w,w,w,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
,,,,,w,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,w,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,w,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,w,h,h,w,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,w,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,
